id,utm_easting,utm_northing,canopy_top_m,canopy_radius_m,provenance
tree_203,681379.39,1191424.65,17.06,7.89,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_204,681522.39,1191423.9,18.84,1.77,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_205,681522.64,1191423.9,18.82,1.77,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_206,681571.89,1191423.9,18.19,4.03,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_207,681336.14,1191422.65,32.77,2.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_208,681567.39,1191421.15,20.08,3.29,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_209,681636.89,1191420.9,26.15,6.1,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_210,681384.14,1191420.65,17.45,7.16,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_211,681427.64,1191420.4,16.85,4.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_212,681427.89,1191420.4,16.85,4.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_213,681613.64,1191420.4,21.12,3.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_214,681368.64,1191420.15,19.04,5.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_215,681427.64,1191420.15,16.84,4.32,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_216,681398.39,1191416.15,11.65,1.8,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_217,681412.64,1191415.15,15.08,5.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_218,681554.64,1191414.9,13.3,2.85,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_219,681526.64,1191414.65,18.73,3.05,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_220,681554.39,1191414.65,13.29,2.85,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_221,681345.14,1191413.9,12.51,6.52,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_222,681424.64,1191413.15,12.69,2.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_223,681619.89,1191413.15,25.15,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_224,681365.39,1191412.65,19.9,5.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_225,681424.39,1191412.65,12.59,2.76,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_226,681446.64,1191411.9,13.67,2.46,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_227,681628.64,1191410.65,27.13,6.41,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_228,681628.64,1191410.4,27.13,6.41,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_229,681521.39,1191409.9,19.66,3.02,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_230,681331.89,1191409.15,6.07,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_231,681332.14,1191408.9,6.07,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_232,681545.64,1191408.9,13.5,3.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_233,681332.14,1191408.65,6.13,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_234,681332.39,1191408.65,6.09,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_235,681332.39,1191408.4,6.15,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_236,681332.39,1191408.15,6.25,1.25,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_237,681415.14,1191407.9,15.02,5.81,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_238,681545.89,1191405.15,13.28,3.04,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_239,681515.39,1191403.4,14.48,5.06,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_240,681408.89,1191402.65,14.36,5.06,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_241,681452.14,1191402.15,13.85,2.36,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_242,681620.89,1191400.9,26.03,5.75,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_243,681338.89,1191398.65,13.5,5.51,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_244,681519.14,1191398.4,12.52,5.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_245,681454.39,1191398.15,13.91,2.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_246,681454.64,1191397.9,13.92,2.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_247,681592.64,1191397.65,19.52,6.26,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_248,681499.39,1191396.9,11.17,4.95,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_249,681636.39,1191396.65,25.69,5.01,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_250,681401.39,1191395.15,24.06,2.3,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_251,681596.64,1191394.9,18.64,5.86,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_252,681576.89,1191393.9,20.53,8.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_253,681457.89,1191392.9,13.84,1.95,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_254,681616.64,1191392.65,24.39,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_255,681616.64,1191392.4,24.39,5.0,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_256,681510.39,1191391.9,9.86,3.58,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_257,681629.89,1191390.4,24.84,5.1,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_258,681555.39,1191389.15,13.43,4.45,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_259,681344.39,1191387.9,23.47,3.64,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_260,681474.39,1191387.65,13.61,2.7,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
tree_261,681460.64,1191387.15,13.8,2.37,"green in own ortho, above local DSM minimum; radius from canopy distance transform"
